"id_tweet","texto_original"
1,"@user La prensa cada vez más desacreditada  Dejé de ver televisión y pronto dejaré tb de leer periódicos. #LaCafeteraIBEXtiduraFallida"
2,"Uds locas por sun and moon me dieron ganas de jugar, pero hablan de stats y huevadas que ni idea. Yo feliz atrapando y combatiendo nomas"
3,"@user Buenos Vídeos.Se que llegadas a los 1.000.000 de SUBS. Sigue haci y cuídate :v"
4,"El amanecer va a ser bien feo por el recuento de los daños ojalá no aumente el número de víctimas."
5,"Hoy estaré en @user en zona de Humor ups! De Amor 90.5 Fm solo para desearles Feliz Navidad y si quieren les doy una noche buena"
6,"@user @user Pues espera a verla entera. Va a entrar a tus favoritos de cabeza"
7,"@user oye, q llevo todo el verano pringando!! Me merecia una recompensa ya"
8,"@user 🐥  -tu pelo -eres una de mis mejores amigas -no mereces estar mal por nadie  -compañera pastel!"
9,"Buenos días Magaluf !  👌🏻✅ • @user • #BHmallorca#Magaluf #Mallorca #Island #Summer2016… http"
10,"@user jajajaja.... eso es una indirecta  preparate #F que quiere reformar el baño"
11,"A estas horas hace un mes estaba nerviosa no, lo siguiente porque le veía y ahora"
12,"Lo mejor de estar ya en Málaga es poder ir a ver Escuadrón Suicida esta tarde"
13,"@user hahahaha yo aquí esperando impaciente"
14,"@user Sole. Porfa: Un saludo a Costa Rica, no se si hayas estada aca, pero aca te vemos en Rincon de Luz. Un Saludito, sii."
15,"El tío que está delante mía en el ambulatorio lleva una camiseta chulisima de Dark Souls"
16,"Me encanta como han decidido a que universidad voy a ir sin ni siquiera consultarmelo"
17,"Veo que nos extrañan...mi tío nos llamó, mi prima me dedica tuits y mi mamá me manda foto con caras tristes AH PERO CUANDO ESTO ALLÁ..."
18,"@user qué hermoso!,es bueno desviar la mirada al cielo y a las nubes de vez en cuando,abajo está jodido.preciosa foto,mil abrazos"
19,"@user q gran idea Fer !!! Pero tengo mucha flojera , andaba dándome ánimos para ir hasta el ecomarket de la otra cuadra."
20,"Soy la unica que quiere un poco mas a Assereto que a Pesaressi? Ojo, no digo que no quiera a GP pero GA, a él lo quiero un poco mas."
21,"Este año promete estar lleno de cosas buenas , espero con ansias cumplir muchas metas , vencer miedos , conocer personas"
22,"El Turrialba me odia, en definitiva, es el milésimo ataque de asma en el semestre"
23,"@user jajajaja yo pensé que había captado la indirecta pero si, está vacilon el avatar"
24,"@user @user La noticia perfecta para #NotasDelMisterio"
25,"No sé ni qué leer para tratar de entender lo que va a pasar. Todas mis fuentes usuales fallaron"
26,"#CuandoTengoPlata lo gasto todo muy rápido"
27,"@user Vale   Lo he probado hoy y me parece muy bueno... veré tus vídeos"
28,"@user si, feo feo feo...que madre"
29,"@user ya me imagino su calor que debe estar haciendo allá, ya me imagino negra"
30,"#FF a los geniales @user !!"
31,"Es Tan Difícil ser YO. #BuenosDias"
32,"@user ala  pues te apruebo con clases y trabajos extra!"
33,"realmente hacía un gran trabajo pero dónde sea que esté espero que sepa que apreciamos mucho lo que hacía"
34,"@user júrelo que lo reconsidero siempre, tengo insomnio y la ansiedad no me deja dormir + tengo e mañana"
35,"Quiero decirte, hola, como estas? Pero... los check azulitos me dan miedo"
