id_tweet,fecha_creacion,usuario,texto_original,texto_procesado,sentimiento_predicho_texto
1,2025-05-21 15:43:35,usuario_generado,@user La prensa cada vez más desacreditada  Dejé de ver televisión y pronto dejaré tb de leer periódicos. #LaCafeteraIBEXtiduraFallida,prensa cada vez desacreditado dejar ver televisión pronto dejar tb leer periódico,neutro
2,2025-05-21 15:43:35,usuario_generado,"Uds locas por sun and moon me dieron ganas de jugar, pero hablan de stats y huevadas que ni idea. Yo feliz atrapando y combatiendo nomas",uds loca sun and moon dar gana jugar hablar stats huevada idea feliz atrapar combatir noma,positivo
3,2025-05-21 15:43:35,usuario_generado,@user Buenos Vídeos.Se que llegadas a los 1.000.000 de SUBS. Sigue haci y cuídate :v,buen vídeosse llegado subs seguir haci cuídate v,positivo
4,2025-05-21 15:43:35,usuario_generado,El amanecer va a ser bien feo por el recuento de los daños ojalá no aumente el número de víctimas.,amanecer ir ser bien feo recuento daño ojalá aumentar número víctima,negativo
5,2025-05-21 15:43:35,usuario_generado,Hoy estaré en @user en zona de Humor ups! De Amor 90.5 Fm solo para desearles Feliz Navidad y si quieren les doy una noche buena,hoy zona humor ups amor fm solo desear él feliz navidad si querer dar noche buen,positivo
6,2025-05-21 15:43:35,usuario_generado,@user @user Pues espera a verla entera. Va a entrar a tus favoritos de cabeza,pues esperar ver él entero ir entrar favorito cabeza,positivo
7,2025-05-21 15:43:35,usuario_generado,"@user oye, q llevo todo el verano pringando!! Me merecia una recompensa ya",oir q llevar verano pringar mereciar recompensa,negativo
8,2025-05-21 15:43:35,usuario_generado,@user 🐥  -tu pelo -eres una de mis mejores amigas -no mereces estar mal por nadie  -compañera pastel!,pelo mejor amiga merecer mal nadie compañera pastel,positivo
9,2025-05-21 15:43:35,usuario_generado,Buenos días Magaluf !  👌🏻✅ • @user • #BHmallorca#Magaluf #Mallorca #Island #Summer2016… http,buen día magaluf http,positivo
10,2025-05-21 15:43:35,usuario_generado,@user jajajaja.... eso es una indirecta  preparate #F que quiere reformar el baño,jajajajar indirecto preparate querer reformar baño,negativo
11,2025-05-21 15:43:35,usuario_generado,"A estas horas hace un mes estaba nerviosa no, lo siguiente porque le veía y ahora",hora hacer mes nervioso siguiente ver ahora,neutro
12,2025-05-21 15:43:35,usuario_generado,Lo mejor de estar ya en Málaga es poder ir a ver Escuadrón Suicida esta tarde,mejor málaga poder ir ver escuadrón suicida tarde,positivo
13,2025-05-21 15:43:35,usuario_generado,@user hahahaha yo aquí esperando impaciente,hahahaha aquí esperar impaciente,positivo
14,2025-05-21 15:43:35,usuario_generado,"@user Sole. Porfa: Un saludo a Costa Rica, no se si hayas estada aca, pero aca te vemos en Rincon de Luz. Un Saludito, sii.",so él porfa saludo costa rico si aca acar ver rincon luz saludito sii,positivo
